,mention,class
48519,"Товар так и не получила. Трек номера нет, возможно потеряли при пересылке. Поэтому по качеству ничего сказать не могу.",neautral
8356,"Ужасно ждала посылку почти четыре месяца,и в итоге она не пришлапродавец только кормил обешаниями ,продлевал сроки доставки,очень разочарована ,больше к вам ни ногой,и не советую никому,только потратите нервы и время",negative
55107,"футболка качественная,плотная. соответствует размеру,но отправляли очень долго.",positive
905,"Заказала Единорога, получила Динозавра. На капюшоне большие грязные пятна.",negative
2612,"Отстой. Качество ужас! Размер маленький пришёл. Ткани очень мало, не как на фото. Не советую брать.",negative
71438,"Быстро пришло, подошло. Спасибо!!!",positive
40854,"Мягкая приятная,но цвет не такой яркий как на картинке",neautral
1402,Прислали на неверный адрес.,negative
53662,"К сожалению, это не является пальто. Скорее это плащ без подкладки с минимальным количеством наполнителя внутри. Ткань очень тонкая даже для плаща.",neautral
26013,"товар пришел быстро,качество хорошее,)но запах,,,,ужасный запах не исчез после стирки,и после 5 дней выветривания на балконе(((запах тухлой рыбы,выкинули штаны,носить такое нельзя,,а жаль(((",negative
12122,товар не пришел!!! деньги не вернули!!! молча закрыли спор.  не заказывайте у этого продавца,negative
61242,"товар пришел быстро, качество хорошее.",positive
8448,заказ не пришел+продавец делал мозги долго месяцев уверяя что отправил заказ,negative
15760,"Доставка быстрая, трек отслеживался. Качество ткани нормальная синтетика, помпоны можно прикрепить только у самого горла, рисунок намного выше,чем на картинке, может мне просто не повезло. Не соответствует размерной сетке вообще. Заказан размер  XL. А обхват груди в реале 101 см. неслабая разница в 20 с лишним см с заявленным в таблице. На фото видно.",negative
6029,"Кофта пришла с ужасно торчащими нитками, я открыла спор, на что продавец ответил: ""Нитки вы можете убрать сами"". Спор закрыт - деньги не вернули. Кофта ничего такая, но нитки и общение с продавцом прооосто поразило",negative
28892,"Качество материала свитера хорошее, мне понравился. Но рукава короткие и очень узкие. И еще один момент, - отделка горловины в одной точке имеет соединение из двух частей, сшито грубо,  я бы сказала недопустимо, выпирают соединения материала. Этот момент сильно огорчил.",neautral
80255,"Блузка красивая и удобная, сшита качественно, цвет яркий, как на фото. Можно носить под пиджак.",positive
76996,Бодик очень понравился .Заказала по сетки М и подошел как раз. Товар пришел быстро.,positive
78543,"пришло быстро,все как в описании,хотела носить как домашнее платье,но оно просвечивается,качество хорошее",positive
78089,как искусственная кожа на ощупь как будет себя вести в носке чуть позже,positive
42134,"Кофта безумно милая, но пришла с очень неприятным запахом, после примерки, на футболке осталось много ворсинок от кофты и ушки очень странной формы, похожи на собачьи)) По размеру подошла. Доставка около месяца)",neautral
28350,рубашка не соответствует размерной сетке.5хl максимум на 48 размер.очень жаль!а так рубашка не плохая.,neautral
3755,"Заказ мне не пришёл! Продавец не ответил. Спор почему-то закрыли, деньги не вернули. Продавца крайне не рекомендую! Отвратительность отношение к клиентам. ",negative
37930,"Материал ужасный, грубый. Нет подклада. Ткань блестит. Размер огромный, квадрат какой-то. Сама виновата-повелась на цену. ",neautral
48618,"Заказала размер L, но он оказался довольно маленьким, как будто это S. Футболка синтетическая, не очень приятна к телу. Но пришла довольно быстро. Совершенно не тянется. ",neautral
64262,"Быстрая доставка , хорошее качество.",positive
19216,товар не пришел.через спор вернула деньги,negative
31897,Карманы оттопыриваются и на бёдрах висят ушами.,neautral
64030,"Прекрасное качество, полностью соответствует описанию, короткое, силуэт прилегает.",positive
14441,качество ужас швы не прошито все торчит обсолютно одноразовая еще и размеры не сходятся,negative
48251,",",neautral
70645,"Платье шикарно! Я влюбилась! Полностью соответствует фото. На рост 165 размер S длина на ладонь ниже колена. на параметры 88-70-93 село хорошо, чуть свободно в талии, грудь и бедра в обтяжку. Ткань плотная, не просвечивает. Точащих ниток нет, запаха так же нет. До Ярославля доехало за 2 недели службой доставки.",positive
12368,Посылка шла 3 месяца так и не получила вернули только за одну пару а вторую не вернули . Не довольна (((( ,negative
45865,Долго шел товар. Не по размеру. Пошив хороший. берите размером больше. Мало мерит.,neautral
53116,"товар пришел грязным, не знаю отстирается ли",neautral
53405,Малы ,neautral
31293,"доставка месяц, носочки почти прозрачные",neautral
27920,очень долго шло . есть брак одна часть шорт длинее другой. но ткань хорошая,neautral
42398,прислали другое и с длинным рукавом,neautral
59970,"отличный товар. снижаю звезду за то, что долго шел товар. вроде не почтой России отправляли, можно и быстрее.",positive
47466,"Девочки, ну слов нет, тряпка синтетическая, не стоящая ста рублей, я не знаю, за эти четыреста рэ в норм магазине все-таки можно купить норм вещь, ну не заказывайте дребедень",neautral
76549,"Симпатичная кофточка, хорошего пошива. Но размер М маловат на Ог 89 и в плечах. Подойдёт на рост не выше 165. Иначе линия талии будет под грудью. Пришла довольно быстро.",positive
6419,"Не пришло, деньги вернули через спор.",negative
4120,"товар пришел быстро.упаковка товара отвратительная-такое ощущение что товар в пакет запихивали ""с ноги"" и еще долго прыгали на упаковке чтоб он туда поместился.все пришло очень мятое",negative
46944,"Не получил товар. Трэк не отслеживался.
Продавец невнятный.",neautral
81430,"резинки  классные, пришли быстро",positive
29721,"С 23.07 до 26.08 ждала заказ. Пришла бесформенная ""юбка"" из тончайшей синтетики с торчащими нитками. Даже без растягивание на тело, ткань просвечивает как тюль!",neautral
24045,"Очень недовольна! заказала XL, пришёл очень маленький размер, подруга носил S и на неё еле залез!!!!Там явно что то перепутоли¡!!!!!!!!???",negative
25261,пришла вообще не та вещь. Причем не очень хорошего качества,negative
14655,"я в шоке! то ли перепутана маркировка, то ли дикое несоответствие размера...Боди велико просто не прилично! Мой муж 187/90 кг влез в него с запасом, а рукава и на нем как парус! цвет не белый, а топленого молока! Жуть! Выложить фото- себя не уважать! Не покупайте!!!!",negative
353,"На внутренней поверхности ужасный клей, который размазывается по груди.",negative
64369,"Задумка не плохая, но ОЧЕНЬ ПРОЗРАЧНАЯ!!!",positive
20631,"размерная сетка не совпадает, один рукав просто раскроен и не обработан, доставка долгая, трек не отслеживался. Рекомендовать не буду",negative
82675,"Куртка очень хорошая по качеству. На ОГ 106 взяла XXXL, куртка села идеально. Доставка месяц, курьер принёс домой. Продавца рекомендую.",positive
26518,товар не пришол деньги вернули после обострения спора,negative
26194,"Очень долго шло, несмотря на платную доставку. И очень короткое. 5 XL на рост 165  см на 20 выше колена, только на совсем молоденьких девочек.",negative
53422,"Не очень приятный на ощупь, материал тонкий, капюшон маленький",neautral
52670,очень низкое качество,neautral
64337,"На 54р хорошо,широкие,удобные,мягкие",positive
35390,"За 47 рублей ещё ладно... кружево пришито поверх кофты,края необработанны. Продавец сказал что все остальные покупатели довольны. Ну-ну ",neautral
71983,"Отлично, жена в восторге",positive
5981,"ужас! цвет не соответствует! сшито на слонов,не рекомендую",negative
10027,"кофта не летучая мышь, обычная простенькая кофточка. жаль",negative
77273,очень мягкие и приятные платки. расцветка соответствует,positive
66914,"Заказываю уже повторно,очень нравятся топы,качество очень хорошее.Буду ещё заказывать,спасибо продавцу.",positive
7088,"товар не пришел! в поле отслеживания пишут,что заказ выполнен! проверяли на почте по номеру неоднократно!-не поступал! по времени жду долго!",negative
64070,Хорошая кофта! ,positive
78082,Качество отличное. Рекомендую,positive
67313,"S по размеру,  но может немного сборить в груди.  Юбка коротковата,  если поднять руки,  остается один сантиметр до видимости трусов при росте 166.  Отослали быстро, в Москву пришло через 2.5 недели и это при загруженности на 11.11.размер выбирала сама по размерной сетке",positive
17185,"Ребята, это полный кошмар! НИЧЕГО НЕ ЗАКАЗЫВАЙТЕ ЗДЕСЬ, продавец МОШЕННИК!  Сначала он ОЧЕНЬ ДОЛГО отправлял заказ, пришлось увеличивать время обработки. Затем, вместо того, чтобы отправить мне куртку, он отправил некий маленький круглый предмет (на ощупь похоже на пуговицу или пробку от бутылки). Конверт вскрывать не стала, отправила посылку обратно. Вот тут и началось самое веселье. Спрашиваю продавца ""где товар"" и что он отправил мне вместо куртку, продавец молчит. Открыла спор, по спору 3 недели ничего не происходило, и потом продавец высылает номер для отслеживания ТОТ ЖЕ САМЫЙ, будто он отправил заказ заново. Для команды али эта штука прокатила, они принимают решение: жди товар. И так продолжалось долгое время, несмотря на все мои доказательства, фотографии и так далее. Даже не помогало обращение в онлайн чат. В итоге, спустя 3 (!!!) месяца после даты заказа с огромным трудом вернули деньги. Пожалейте свои время и нервы, обойдите этого продавца стороной!",negative
75491,"чудесная курточка.сшита качественно,ни ниток,,ни запаха.достаточно теплая даже для холодов. на -7 в ней комфортно.в подарок продавец положил резиночку для волос, спасибо",positive
19643,уродливый..не соответствует размеру..чашки маленькие..95с тянет отсилу на 85в.никогда бы себе такое не купила.,negative
47904,"Платье за такие деньги - отличное! 
Сняла две звезды за то что продавец тянул с отправкой товара вплоть до последнего часа. 
Подождав 8 дней из 10 предоставленных, я отменила свой заказ устав ждать и переживая что платье просто не успеет до меня добраться перед отъездом. Продавец проигнорировал мою просьбу ссылаясь на то, что товар отправил уже давно, просто не было доступа к интернету. Вранье конечно же. 
Не рекомендую, если вам нужно быстро получить платье.",neautral
6236,Это ужас ,negative
77388,"Очень хорошее платье, никакого запаха, швы ровные, ткань приятная к телу. На параметры 88-66-90, рост 164, взяла S, подошло. Платье тянется. Платье на стройняшек, видно все недостатки)",positive
19484,"Заказ сделала 16 октября, прошло два с половиной месяца, а кофты так и нет.  29 ноября пришел пакет с треком, а там розовая висюлька из ниток. Открыла спор, закрыли в пользу продавца.  
Видимо, это новый развод на деньги- оплачиваешь заказ, отправляют пакет с открыткой и висюлькой с трек кодом,а про кофту обещают, что придет другой посылкой без трек кода.  Не стоит тратить деньги на висюльку за 460 рублей, которую я уже выкинула.",negative
20429,"не чего не отправил,просил спор закрыть,все решилось через али экспресс",negative
36218,Карман рвется по шву,neautral
54488,"в плечах узковато,не по размеру",neautral
25059,"Я ждала с 04.17г. по 20.07.17 г., не пришел заказ! я открыла спор, хотя продавец просил отменить, деньги вернули, спасибо!",negative
45888,40 дней до Новосибирска. частично отслеживался. нитки местами торчат. пятна на рубашке типа не прокрашено или наоборот отбелено.,neautral
24981,"Размер не соответствует ни размерной сетке, ни фото!  На воротнике пятно! Заказывала себе, а подойдёт только ребенку подарить, если отстирается. По спору ничего не вернули(( Продавец-обманщик!",negative
21920,на картинке начес большой и толстый. а на деле как колготки,negative
62974,"В целом платьем довольна, но есть ""но"" размер XL на 48 сидит в груди в притык, дальше клёш и 60-у будет свободно))), материал плотный хороший, пошито тоже все хорошо строчки ровные, нитки не торчат, края обработаны. Заказ шел 1,5 месяца.",positive
42726,"в общем блузка не плохая. ткань блузочная, как я люблю. на свой 40-42 заказала м. села идеально. заказала бы s, была бы мала. единственный минус, кривой вырез. чем огорчилась.",neautral
22493,"синтетика голимая, ладно это, ношу 42, заказала на размер больше - М, так они только только, так еще и короткие ужас, мой рост 169",negative
70190,"Хорошие, красивые. Доставка в курск 3 недели ",positive
70463,"Очень быстро получила. Оправдал ожидания. Аккуратно сшит., красивый цвет, освежает и теплый. На 46/48 достаточно комфортно. Рекомендую.",positive
65848,отличная шапочка,positive
63826,"кофточка  очень  красивая , по  размеру . правда  доставка  долгая  два  месяца , но  из за  этого  не  снимаю  звезду . ради  этого     стоило  подождать . большое  спасибо  за  хороший  товар .",positive
40920,"Заказала 2 шарфа,шарфы хорошие мягкие,теплые,но один шарф с браком,большая зацепка",neautral
69025,На рост 173 и бедра 93 см села как надо.,positive
30272,"Пришло не то.что я заказывала. Рисунок не тот! Надо было с бабочками,а прислали с розами. Если не было с бабочками.то почему продавец не связался со мной????",neautral
81136,"заказала на 11.11.17 прибыло 16.01.18
тонкая и немного просвечивает,  короче чем я думала и карман кажется лишним",positive
70123,"Трусики не получила. Поставила 5* за оперативный возврат. Спасибо продавцу, буду пробовать ещё.",positive
26774,Качество пошива отвратительное!,negative
481,"Маловато, впритык сидит. На этой блузе все везде топорщится и швы стянуты. Обтачка спереди на горловине с непрошитым краем (с дырой, грубо говоря).",negative
31214,Спасибо пришло быстро ! Но все крови слито ! Буду переделывать !!!!,neautral
76112,"Доставка товара заняла чуть больше месяца до РО. Когда посылку можно было забирать, на телефон пришло смс уведомление, что очень круто!) в целом я покупкой очень довольна. Приятное к телу нежное белье. Материал тянется, не имеет неприятного запаха. Нигде ничего не торчит, не жмет. Бретельки регулируются, их можно заменять. Думаю, они не долго прослужат, так как бюст у меня тяжелый довольно. Что касается размера, у меня сложные параметры. Выбирала по отзывам девочек и на свой страх и риск. У меня 4 размер бюста при небольшом обхвате под грудью, из за этого у меня вечные проблемы с выбором бюстгалтера. Этот комплект я заказала размером 85д при своих параметрах ог92, опг 76 и от 96. Лучше бы, конечно подошел р-р 80д, так как бюстгальтер приходится застегивать на самые последние крючки. Низ я ношу размера М. В этом комплекте шли трусики ХЛ, но большими они не оказались. Так как материал хорошо тянется, можно было бы и в Мку влезть)) словом, комплект достойный, обязательно закажу еще)",positive
17613,"Без преувеличения,самый отвратительный продавец которого только можно найти.
После того как я оплатила заказ он отказался высылать нужный мне цвет (говорил что khanaki не в акции).После того как я ему написала и объяснила что мне нужен именно тот что я выбрала было. В надежде все таки получить товар,я ему написала с просьбой все таки как то решить проблему.
Он ответил что товар ""потерялся"".",negative
49667,Колготки не пришли (( ,neautral
3181,она ужасна. синтетика. очень криво все пришито,negative
26537,"Плохо прошиты швы, в этих местах материал собирается",negative
72381,"красивый топ,но есть запах",positive
55217,"качество хорошее, запаха нет, но немного не угадала с размером. На рост 171, размер м, нужно подлинее, но у меня отнюдь не худые ножки))",positive
75562,"Платье прекрасное, материал мягкий, сшито хорошо. Заказывала размер М на наш S-XS. Село как влитое. С продавцом не общалась, поскольку это не потребовалось. Спасибо!",positive
8680,брюки не соответствует заявленным размерам. на XXXL длина 93см. бедра и талия тоже маленькие.,negative
56725,"В талии не сидит вообще, там слишком широкий крой, а за счет пояса на бедрах талия вообще теряется. С широким поясом на талии смотрится хорошо. Качество высокое, ткань очень приятная.",positive
10121,"Крошечный размер, запАха абсолютно нет, только как накидка. Ткань не приятная, пояс бумажный, как и ворот у халата. Трусики просто смешные.",negative
1195,"Куртка нормальная, доставка три недели компанией СДЕК до Башкортостана. На российский размер подошел размер XL. Всё было бы отлично, если не было большого пятна застывшего клея с правого подборта. на фото это видно. продавец предложила вернуть товар, но мне это накладно. впечатление испортило это пятно. продавец общительный, но на компенсацию не согласилась. из-за этого пятна снижаю звёзды",negative
4019,"они пришли маленькие- хотя заказывала размер М, и они не тянутся вообще!!!",negative
50929,"Рубашка не соответсвует представленному фото - другая форма и длина рукава, другой низ... в общем мне рубашка не подошла, хотя судя по отзывам - люди закрывают на это глаза. Написала продавцу о том, что товар не соответствует описанию и чтобы он выслал соответствующий товар, а при отсутствии такого вернул деньги. Продавец написал, что я должна вернуть товар и тогда он вернёт деньги, на условие о его оплате стоимости пересылки он не согласился. Открыла спор, по решению AliExpress деньги возвращены. Продавец просил поменять причину спора с ""товар не соответствует описанию"" на ""товар больше не нужен"" - ни в коем случае не соглашайтесь на это - при доступном трёх номере, вас обяжут вернуть вещь, а из России бесплатной доставки нет. ",neautral
54842,"Очень тонкая, но качество хорошее. Смотрится хорошо) 
Рекомендую.",positive
63163,"Для своей цены очень приемлимое качество, доставили за 28 дней. Материал немного колется. Короткая, с джинсами с высокой посадкой смотрится хорошо.",positive
31438,"Посылка пришла на почту, но в адресе не было указано дома и квартиры. Хорошо, что был указан номер телефона и посылка дошла до меня.
Ткань довольно прозрачная, и очень тонкая((( Что надевай, что не надевай, почти одно и тоже :)",neautral
70582,кпчественно сжеланная вещь. на 44-  m впритык. длинноруким рукава будут короткие.,positive
30564,Слишком длинные лямки,neautral
4424,Плохое качество ,negative
29063,для жены...среднего роста оказались малы((,neautral
68950,"Заказ пришёл в течении 10 дней, кофта соответствует описанию, мягкая и пушистая, размер М подошёл на 46. Спасибо!",positive
66548,отличное качество..на начало зимы отличный вариант...не знаю на сильные морозы подойдет ли...будем пробовать..возникли нюансы ..но продавец молодец все решил без вопросов..,positive
65850,Сплошное очарование! На 39 р в самый раз! Милые. Спасибо ,positive
28163,хорошо но очень тонкий,neautral
34082,"Эта рубашка не пришла,  вместо неё положили другую, она мне большая.",neautral
10887,"Заказ пришёл довольно быстро, но, к великому сожалению, товар ужасного качества. Невооруженным глазом видно, что прострочили на скорую руки, оттого строчки неровные, стянутые, а сама ткань в отдельных местах морщится. Вовсе не понятно мне, как отмеряли нужную длину, так как после прострачивания сразу заметно, что ткань отрезали неравномерно.   ",negative
38540,Продавец не хотел деньги возвращать вообще. Только тянул сроки. Ужасно,neautral
44451,цвет темнее чем на картинке.,neautral
31863,теплые брюки но верх пришит так что из за загибов толстого материала на бедрах получается будто есть ушки.,neautral
76867,"Немного ниток и ткань просвечивает, а так все хорошо. На 44 брала L сел отлично",positive
3521,"Отправили быстро . Но, это не те леггинсы, которые были ранее. В феврале делала заказ , леггинсы были тёплые , колготки зимой вообще не одевала . А эти тонкие , я разочарована (((( Заказ делала по прошлому , тоесть я ошибиться не могла .",negative
56476,"Хорошие трусики, понравились, швы ровные",positive
64248,"Доехала в Челябинск за месяц, отслеживалось  полностью. XL на российский 48 сел будто на меня шили. Плечи на месте, вырез впору, длина тоже отлично, не обтягивает как колбасу и не болтается. Очень приятный к телу материал, плоские бельевые швы, лазерный край - крутейшая вещь! Цвет нежно-розовый, ненавязчивый, запаха нет. А звезду сняла за грязные пятна спереди, на самом видном месте , надеюсь отстирается.",positive
20231,шапка пришла с дыркой с браком,negative
69266,"Хорошие трусы, на 46-48 XL . Доставка в Питер мега быстрая 18 дней. Продавца рекомендую.",positive
27319,Очень маленькие размеры брал 2 ххл как наша русская л,negative
40758,"шов не ровный, нитка петляет. придется отдавать в отелье на ремонт. размер s на 12 летнюю девочку в самый раз. цвет ровный. доставка средняя.",neautral
45029,"продавец не отправил , но вернул деньги",neautral
4115,"Гавно , тряпка",negative
154,"Шорты пришли большие , хотя заказывала размер S, не довольна!!",negative
82539,"Блузка очень красивая, сшита качественно, соответствует описанию",positive
79497,"Клевые,как лосины.заказала М",positive
54213,"Сзади ткань прозрачная, из-за этого не стала носить.",neautral
22606,"товар так и не пришел! продавец кормил обещаниями.открыла спор,деньги так и не вернули.плохой сервис.",negative
77187,"в целом шарфик хороший, мягкий! Но линяет , оставляет на вещах ворсинки не приятные. посмотрим что поменяется после стирки!",positive
25118,"Ужасный,  совершенно не подошёл с размером, я ношу М,  а это даже не S,  не подошёл,  качество ужасное и одни нитки торчат",negative
48152,Ношу. Качество на 3+. Она не хб. Не знаю как дальше носится будет. Не растянется ли?,neautral
33324,"Получила товар достаточно быстро - это плюс, цвет соответствует заявленному - тоже плюс! Качество не плохое, соответствует цене. Но вот шить не умеют - это минус! Неудобные! Рубашка широкая оказалась, но боюсь, если бы размер был меньше, то рукав был бы короткий.",neautral
60726,"Платье пришло за 10 дней. Все качественно прошито, запаха нет, нитки не торчат. Но я немного промахнулась с размером. На мой 42-44 можно было взять S. Из-за больших плеч и длинны рук решила взять побольше чтоб наверняка, но в итоге в талии свободно и топорщится. Буду ушивать. Платье идёт размер в размер.",positive
54378,"пришло быстро, но очень маленькая кофта! на 46 размер  3xl,  а я ношу 52. обидно, я ее так ждала",neautral
53644,"товар отправили через 11 дней, после трех моих СМС о просьбе отправки,доставка очень долгая,товар имеет запах, много торчащие ниток,но цвет хороший, запах на улице не выветрился, буду  в кондиционере полоскать, нитки надо сразу завязать на узелки, а то боюсь распустится мой кардиган долгожданный",neautral
63938,"Кардиган хороший, доставка месяц до
 Астрахани. качество хорошее, но размер не совпадает на рост 160 и 70 кг брала 4xl, нормально. трек отслеживается. Продавца и товар рекомендую.",positive
82017,Это не первый свитер в этом магазине и все опять замечательно.,positive
30855,тонкая синтетика.,neautral
17545,"Товар не пришёл, деньги не вернули",negative
82406,"все отлично,но не угадала размером ,на 162 размер s короткий (  сначала прислали без ремня,но я написала проду и он выслал его с треком (дошёл за неделю) ,в общем хороший продавец",positive
38309,мал по размеру,neautral
36668,Ужасно узкие! Размер с на худенькую девочку 13 лет еле налезли! ,neautral
38718,"Кофточка странная: на размер 44 размер L оказался странным. рукава вроде нормальные, но постоянно перекручиваются и уползают вверх. Очень сильно просвечивает. нитки торчат, швы кривые. Носить точно не буду.",neautral
70090,"Хорошая базовая футболка. На размер 42-44 М хорошо, но маловата по плечам( лично мне), закажу ещё у этого продавца L. Качество отличное, запаха нет, швы ровные, нитки не торчат. В подарок положили резинку для волос) спасибо.",positive
9655,Не пришло.. Не заказывайте,negative
18442,Товар не получен по вине почты! Отправили назад продавцу зачем-то,negative
17325,"Заказала платье и платную доставку, пришёл спустя 33 дня, хотя по условиям платной доставки 23 дня . Платье короткое , заказывала М, мне не понравилось ! Не советую , лучше добавить и купить что-то лучшее! Продавец нечестный!",negative
68160,супер качество. магазин отличный. доставка очень быстрая с отслеживанием. рекомендую однозначно,positive
48830,Короткие рукава. Три четверти. Не так как на фото.,neautral
76124,Всё отлично! Спасибо вам!,positive
69524,Отлично!!!как на картинке. Размер S на 40-42 идеально.,positive
58842,качественная кофточка. только продавец очень долго отправлял.,positive
69723,ОТЛИЧНО!!!,positive
82540,до красноярска дошло за месяц,positive
19777,"товар не пришел, прошло почти 2 месяца, хотя бы деньги вернули",negative
6893,"скорость и точность нормально, а вот качество.....нитки торчат, швы не ровные, прострочено не полностью, вместо шнурка тесьма и та с торчащими нитками ..... короче качество ужасное....",negative
14855,"Верните деньги, продавец не чист на руку, деньги уже 2 недели не возвращает и товара нет",negative
10435,"Мой товар так и не пришёл заказала с конца мая , сейчас уже октябрь так и не получила, расстроена не заказывайте обманщик ",negative
49044,не очень,neautral
1586,"Долго искала такой тоненький джемперок и наконец нашла! А теперь почему только две звезды: Во-первых доставка дольше месяца - планировала надеть его на новогодний вечер, так как доставка службой еРаскеt обычно приходит к нам за две, максимум за три недели, а здесь продавец неделю ""телился"" с отправкой, в итоге посылку получила уже после НГ. Во-вторых нужен был бежевый цвет как на сайте у продавца - получила с желтым оттенком, бонусом получила земельный цвет лица((( В-третьих - на ОГ 92 см по размерной сетке продавца выбрала XL, не люблю когда сильно обтягивает, получила джемпер просто с игрушечным размером, таких у продавца даже не указано, наверно это XS. Всё по честному - минус три звезды.",negative
71529,Юбка классная. Ткань очень приятная. Швы ровные. Неприятного запаха нет. Спасибо продавцу!,positive
76224,"Юбка супер, сшита качественно. На ОТ 63, ОБ 86 размер S сел идеально. ",positive
20570,"пришел вообще другой рисунок, очень не приятно",negative
53556,Блуза очень маломерит и очень прозрачная. Брала размер S для ребёнка 11 лет - мало.,neautral
81166,"❤️❤️❤️❤️ как же я их люблю!!!они такие классные, теплые, удобные! всем рекомендую! только на полную ногу они не налезут,т.к. вверху резинка не особо широкая. дошли ну очень быстро - заказала 19 декабря, 9 января уже забрала на почте",positive
78850,Досталась на халяву.,positive
60950,"отличное! один в один с картинки! очень приятное наощупь!  качество очень порадовало! довольна! рекомендую! шло 3 нед до Уфы, отслеживадось на трэк24! спасибо продавцу!",positive
30124,"на спине дыра по шву ( доставка: заказала 9.11.2017, а получила 11 ноября 2017! Ооооочень долгая доставка!!! по размеру подошло хорошо ОГ 108см, ОБ 112 см .",neautral
527,"Штаны просто ужас . К пошиву изделия претензий нет , НО вот сама ткань -это просто ужас. Жаль потраченных денег . Материал синтетика ,который собирается по горизонтали . Смотрится это просто кошмар , я даже не знаю ,как описать всё это чудо . На рост 166 сильно короткие . Носить не буду , выброшу .",negative
