,feedback,mark
81412,"Отличный боди из тончайшего кружева с атласными лентами на замочке по спинке!пришло быстро!без крючков между ножек,как мы привыкли)))",positive
18434,"Осталась очень недовольна данным заказом. Товар так и не пришел, хотя прошло уже 4 месяца. Писала об этом продавцу, продавец всегда говорил, что  товар скоро будет, что он в пути, и такими завтраками меня кормили долгое время, при этом продлевая защиту. В итоге, срок защиты прошел, товара нет и денег назад я тоже не получила.",negative
54659,"качество ужасное, ткань синтетика, хоть и плотная, буквы как будто изолента, отвалятся при первой же стирке, открыла спор и продавец вернул деньги, только за это 3 звезды, а так 1",neautral
35045,"Товар хороший, соответствует описанию. Очень долгая доставка, товар не отслеживается",neautral
50518,"Размеры верха не верны плечи и по груди шире в результате не село на меня, юбка хороша но под ней все выделяется ",neautral
3148,Качество плохое ((,negative
17503,"размеры от фонаря выставляют что-ли? Заказала 5 XL,чтобы была посвободнее,так она мне еле налезла.Заказывала до этого 4 XL у других и то больше.Очень обидно.Хотя блуза неплохая,но не подходит.",negative
22397,"перед тем как заказать данный костюм я пообщалась с продавцом,написала ему рост,вес и этот ""человек""сказал что надо 2xl,я послушалась и взяла,в итоге штаны как раз,куртка 50го размера и это на мой 44й,костюм тонкий,мех на куртке вшит прям в капюшон!!!!открывала спор но проиграла,али экспресс считает что продавец не обманщик,товаром не довольна,продавцом не довольна,не покупайте-разочаруетесь!!!!!!!",negative
38163,Носки не пришли. Не было информации об отслеживании. Но деньги вернули после решения спора Али.,neautral
60911,"заказала цвет зеленый более насыщенный чем на картинке,подошла в пору ношу 52-54 заказала 5XL  покупкой довольна .спасибо продавцу!",positive
24773,"Ужас!!!! Ну гольная синтетика, к тому же, заказ шёл оооооочень долго. Не советую! Не рекомендую!!!!!!",negative
19902,"платье просто УЖАС )))) пришло с пятнами. на подкладе затяжки. половина платья без поеток. размер пришол большой. хочу обратно свои деньги, не знаю куда еще писать смс приходят на английском.",negative
41031,ОЧЕНЬ маленькая! а качество хорошее. пришла ОЧЕНЬ быстро,neautral
78495,"Бюстгальтер хороший, мягкий, без косточек.",positive
35125,"Качество не очень, прозрачный, швы так себе. Есть что-то похожее на стринги. Единственное пришел быстро, но не отслеживался.",neautral
23032,сплошной обман. заказ не пришел.  и деньги не вернули. продавец только обещает . не  советую заказывать у этого продавца.,negative
56427,"Товар пришел неожиданно быстро! Все подошло по размеру. Без запаха.  Блузка классная, приятная к телу.  Заказывала сразу две блузки - черную и белую. Очень довольна покупкой. Рекомендую товар и продавца.",positive
4679,джинсы оказались малы,negative
54820,"Пижама красивая. Запах имеется, но после стирки и отвисание немного выветрился. Качество пошива хорошее ",positive
56067,Размер подошел и это главное.  очень приятная к телу.,positive
5492,Товар так и не пришел... деньги вернули спустя 3 месяца...,negative
16707,"джинсы пришли быстро это единственный плюс. швы кривые прошита плохо нитки везде торчат. продавца обманшик , договорились с ним о возврате части денег ,  
я открыл спор,  продавец попросил сменить причину спора на то что заказал по ошибке я сменил он спор не принял. 
в общем продавец лгун.",negative
1730,"Присоединяюсь к негативным отзывам на качество блузки. Во-первых объем груди отличается от заявленного не на 1-2, а на 8 см! Неужели трудно дать реальные размеры или это сознательный обман покупателя? Во-вторых, как можно так некачественно обработать горловину изделия! Нитки торчат, двойные-тройные строчки на самом видном месте. Естественно, что больше к этому продавцу обращаться не буду. Даже относительно быстрая доставка не может сгладить  неприятное впечатление от покупки.",negative
14894,Товар не пришел.,negative
5703,"товар так и не пришел, очень жаль(((",negative
71742,Отличная блузка,positive
71833,очень понравился цвет. такой приглушенный оранжевый. мягкий свитер. немного удивила вышивка на груди)) как то не видела ее в описании. в остальном свитер очень понравился. доставка долгая по россии. привез домой курьер СДЕКа,positive
44047,размер очень маломерит.,neautral
70976,Хорошо,positive
81630,"очень маленький размер. у меня 48, мне мало выше пупка",positive
65217,товар качественный. пришло быстро. продавца рекомендую!,positive
72759,"Кофточка супер. На ОГ 92 и ОТ 72 размер М в самый раз, Очень приятная к телу и доставка быстрая, дней 10. Спасибо.",positive
41458,"Качество юбки не понравилось, шов кривой. покупала в этом же магазине юбку в клеточку вот она очень хорошая.",neautral
71602,Очень очень хорошая . Качество на высоте . С рисунком после стирки ничего не случилось . На свой 42 заказала М. ,positive
16212,"Ткань хорошая. Цвет красивый и по размеру. Но некачественно пошито ,так как горловина и рукава обработаны плохо. Если бы было качественно сшито, все было бы супер.",negative
42467,"Размер 3XL заявлен на бюст 106, в действительности, не уместитесь вы с таким бюстом. ношу 48-50, ОБ-104, ОТ-86, размер бюста 5. Все хорошо, цвет приятный, мятный, пошив хороший, в плечах не жмёт, в бедрах свободно, а вот бюст плющит. Куртка очень хорошая, плотная. Можно заказывать. Уточняйте размер у продавца. Продавец отзывается на любые вопросы. Подвела транспортная компания CDEK, не рассчитали своих мощностей и отсюда была задержка.",neautral
40624,"Ткань не понравилась, синтетика. Размер большой",neautral
43279,"Качество хорошее ,  нитки не торчат,  по размеру подошли,  но коротковаты на 170",neautral
32118,"Голимая синтетика к тому же очень тонкая, носить не будв",neautral
39023,"Ожидала материал поплотней, да и с молнией проблемы(внизу с затруднением застёгиввется)",neautral
15863,Не пришла пижама. Деньги не вернули. Не советую заказывать.,negative
39984,На очках царапина и носить их теперь не получится ,neautral
5579,"качество ужас. синтетика. хрустит, как снег под ногами. даже этих денег не стоит",negative
61646,"Штаны как в описании, тоненькие на лето пойдут.",positive
79747,Кофта класс,positive
2591,я не доволен ждал этот товар 3 месяца а он так и не пришёл  !товар в срок не пришёл!но деньги вернули!вследующий раз будьте как то серьёзнее!отправляя товар с проверенными людьми!,negative
3080,Товар не пришёл ,negative
35922,"прислали не тот цвет который заказывала, продовец делает вид,что не понимает о чем я ему пишу",neautral
73087,"Отличное качество, мама довольна ",positive
18771,"Мне рубашка не понравилась: Швы торчат, в плечах большая в рукавах маленькая",negative
71876,"Всё очень нравится,качество супер,пришло за месяц,за такие деньги это вообще очень хорошо!",positive
27691,"Размер не соответствует,качество неплохое,доставка быстрая",neautral
44730,"Бандероль пришла достаточно быстро, но качество пошива не удовлетворительное, горловина обработана криво, завтра буду отдавать на перешив...",neautral
55854,"Красивая кофта,нежная,не толстая, и не жарко и не холодно в ней.",positive
44201,"Написано, что теплый флис. На деле - тонкие летние леггинсы. Возможно не так что то поняла))) Купила для зимы - буду ждать лета.  Но доставка быстрая",neautral
74294,"платье супер, размерная сетка соотв. очень довольна,, пришло быстро",positive
16328,"Платье не пришло, деньги не вернули!!!! Постоянно заказывай на Али, первый раз такое кидалово",negative
61644,Супер!!!теплые и ткань приятная.,positive
25183,"Заказываю второй раз , первый раз пришла хорошая жилетка, мех красивый пушистый, размер заказала м, оказалась большая, решила заказать такую же но размера с, размер пришёл точно, но качеством осталась не довольна, мех торчит в разные стороны, расстояние между кусочками большое видно замш, в этот раз осталась недовольна. На первом фото жилетка, которую заказала первый раз, на втором вторая жилетка",negative
55033,"Очень удобный бюстгальтер. Мягкий. Очень довольна, буду заказывать ещё. Доставка в Москву шла 2,5 недели",positive
4423,"Ждали более 100 дней,продавец каждый месяц продлевал защиту.Товар не отслеживался ,ну подумал ладно не страшно.В итоге товар так и не пришел.Но самое интересное что продавец просит еще дать ему 4 недели,и не даёт ни каких гарантий,что товар придёт,я считаю это вообще наглостью.
И вернули только часть стоимости от товара,я вообще был в Шоке от Администрации Алли,как они решили этот спор.",negative
51982,not an accurate description of the goods,neautral
23154,Свитер с спущенными швами по всему изделию. На полотне тоже есть торчащие нитки. Нитки торчат с лицевой стороны и с изнаночной. Они короткие и закрепить их нет возможности. Это брак. Или новомодный свитер с дырами. Уже вторая вещь от туюз с браком. ,negative
78651,"отлично,спасибо продавцу",positive
42019,Маленький! Смотрела по размерной сетке и брала на размер больше! Недовольна,neautral
29858,"Не понравилось. На рубашке было чёрное пятно, которое не отстирывается.",neautral
44257,"Все бы хорошо,но... Сделано из тонкой ткани. Полоски на рукаве жмут руку. К телу неприятна ткань.",neautral
52577,"Мне не понравился товар . Цвет совершенно другой , более яркий. Толстовка сидит на мне не так как хотелось бы  ",neautral
50468,"Ничего теплого не обнаружил. Обычные тонкие хб носки. Высокие, тянутся.",neautral
36537,"Материал приятный , но в области колен есть не большие дырочки . Мой размер s подошло отлично ) ",neautral
60711,Отлично подошли по размеру ,positive
70363,"Спасибо,заказ пришел через 20 дней,все отлично!",positive
68558,"отлично,очень понравилась. качество на высоте,ткань приятная,с внутренней стороны что-то вроде начёса,мягкого и тёплого. приятно удивлена. единственное что нужно будет учесть,так это то,что рукава коротковаты. не знаю,имеет ли это какое-то значение,но мой рост 165",positive
71139,"супер,и качество и рисунок офигенны",positive
55703,"присутствует запах, простирала вещь. сидит свободно на рост 175 ниже колена, мне нравится халат",positive
71748,ok,positive
54127,"ткань мягкая,За такие деньги отличное качество , но вот размер вообще не разу не 3хл...хотела свободный , а получилось в облипку",neautral
65875,Всё хорошо  ,positive
79246,доставка меньше месяца.все отслеживается. заказала несмотря на отсутствие отзывов Так как знала что этого продавца всё отлично. на свои параметры 170)95/75/100 взялаXL по совету продавца. всё идеально так как на картинке. рекомендую на все 100 этого продавца и товар,positive
45866,"Майка пришла в почтовый ящик, на размер 42-44 оказалась короткая , в юбку не заправляется даже... ",neautral
42522,"Заказ не пришел, продавец вернул деньги.",neautral
23377,"Платье на фото и платье на самом деле - земля и небо. Очень страшное. Оно старую бабку с огромным животом. Вид ужасный. Размер выбрала прочитав отзывы, но я думаю даже если даже взяла по размеру ничего бы не спасло. Просто так сшито.",negative
57901,"Заказываю не в первый раз, доставка около 3 недель, упаковка отличная. Рекомендую.",positive
75495,"Рубашка хорошая, вроде бы не просвечивает брала s",positive
53173,бабушкина кофта,neautral
66978,"Кофта модненькая, теплая, в составе присутствует хлопок, немного коротковата. Цвет немного темнее, чем на фото. На 44 размер, рост 163 лучше брать размер L.",positive
70664,"Чудные штанишки! приятные к телу, тянутся хорошо, милые-я довольна заказом",positive
18262,"Не рвущиеся колготки прорвались в процессе надевания. Честно, осталась крайне не довольна. Уже заказывала нервущиеся колготки через девочку-посредника. Тут решила, буду сама искать, заказывать и сильно пожалела.
1) колготки очень маленькие ( к сведению, ношу троечку)
2) когда надеваешь, то там где перехватывала чулки пальцами остаются белые пятна, будто нитки в этих местах расползаются.
3) итог одно из таких пятен на бедре попросту расползлось и стало дыркой.
Одним словом этот товар не стоит и копейки. Категорически не рекомендую.
p.s. шли почти месяц в Подмосковье. С продавцом не общалась",negative
3179,"качество 2/10
странный воротник",negative
42085,"Очень долгая доставка 1,5месяца.думали уже не дойдет.продавец был на связи.размер соответствует описанию",neautral
32203,Ткань не очень! Выкройка не очень!,neautral
1666,"заказывала свой размер М,  оказался мал.",negative
67563,Красивенькая!,positive
58187,штанцы супер,positive
54825,"очень быстрая доставка,хорошее качество! Спасибо продавцу!!!",positive
2979,"не знаю на кого это платье, видимо на женщин у которых нет груди. Мой размер М, 98-72-92, грудь 4. От продавца помощи не дождалась, поэтому заказала по таблице. Качество видно на фото, швы кривые, справа тесьма короткая и оно торчит в сторону, рукава вверху жмут как жгут, заказывала L, но в груди сошлось только у моей дочери, у которой XS, в груди оно почти не тянется..маскимум до 86 см.
I don't know who this dress is, apparently, women who have no breast. My size is M, 98-72-92, chest 4. From the seller help never came, so we ordered for the table. The quality seen in the photo, the seams curves, on the right the braid is short and it sticks out to the side, the sleeves on the top, tight as a tourniquet, ordered L, but in the chest only met my daughter, which XS in the breast, it almost stretches..maskimum to 86 cm",negative
13996,"Товар не пришёл. Трек левый какой-то, не отслеживался вообще. Хорошо, хоть деньги вернул, заказала у другого продавца",negative
2184,Все бы хорошо но пятна с трудом отстирала хоз мылом порошок не взял а так крой и качество пошива хорошее,negative
9466,девочки хрень полная все преет и воняет. на выброс.,negative
70981,Заказывала дочери. Размер XXL на 44-46 российский подошел хорошо. Дочке очень понравилось! Спасибо!,positive
15520,я оформила возврат,negative
54046,"платье великан,на 48размер,xxl очень велеко!хотя продавец рекоминдовал xxxl,по идеи померила М как раз!!но доставка очень быстрая!",neautral
79198,"Мне эти джинсы очень нравятся , буду выписывать ещё , доставка быстрая ",positive
80467,"доставка курьером,на дом.с продавцом не общалась. черный цвет-ткань блестит(не матовая). долго думала какой размер заказать,в отзывах мнения расходятся. думала или М или L.ношу 42 российский. заказала L , в плечах хорошо,рукава тоже. думаю если бы заказала М рукава были бы короткие (есть опыт).",positive
2084,"Ужасные , все в затяжку и полосатые а не ровный цвет",negative
70883,"Качество супер, доставка быстрая. Только заказывала белый цвет, а прислали голубой.",positive
81291,"доставка за месяц, отличные гольфы, ставлю 5.",positive
5107,"Товар шёл очень долго ,и цвет майки не соответствует, а по качеству мне понравилось ",negative
82761,"Заказ пришел очееь быстро, где-то за две недели.  Кофта безумно мягкая, буквально воздушная. Всем довольна ~~",positive
24865,качество​ резинок ужасное .,negative
54167,"Платье пришло ни в том цвете,рисунок тоже не совпадает, что я заказывала и по размеру S велико на 44р.
Продавец вернул большую часть стоимости платья.Доставка быстрая.Трек-номер отслеживался",neautral
24091,Посылка была возвращена до отправления.  Продавец не сообщал об этом.  Через спор вернула деньги.,negative
76960,"Хорошее платье, на мой 48 размер хорошо села L. ткань мягкая, хорошего качества, не пахнет. Доставка до Якутска 2 недели, очень быстро. спасибо продавцу. рекомендую.",positive
52309,похожа на ночнушку. Ткань просвечивает.,neautral
23938,"Долгая доставка ,товар не отслеживался. Бант спереди не получится носить ,видно бюстгальтер,да и вообще она все время сползает вверх.",negative
3186,"Продавец долго отправлял товар. Это товар размера S или М. Леггинсы оказались малы. Объем бедер 98 см рост 178. Бирки на товаре срезаны. Маркировка только на пакете. Ей верить нельзя. Покупала аналогичные леггинсы фиолетового цвета у другого продавца, размер L, оказался в самый раз. На фото леггинсы размера Л снизу. Сверху леггинсы продавца. Хотела открыть спор, но спустя 15 дней открыть спор нельзя. А я их получила и даже не открывала. Сейчас примерила, оказались малы. Нитки торчат. Лучше заплатить на 100-150 р больше и взять у другого продавца. ",negative
69885,Неплохая курточка.На 44й ХL  в плечах-рукавах нормально.А дальше-слегка велико.Пошита аккуратно.Немного широкий не очень удобный воротник.Но все равно рекомендую.Также была резиночка для волос.Спасибо.,positive
44049,товар не соответствует описанию,neautral
60029,"21.07.17 заказала, 04.09.17 принесли юбку на дом, посыльный компании ""DPD"", трек не отслеживался, но думаю если настроить данные в проге: ""Трек-Чеккер"", то отслеживание возможно. Довольно доставка в район Крайнего Севера! Юбка из плотной ткани, цвет насыщенный, яркий. Все сшито аккуратно, низ не подшит и не оверложен, но ткань плотная и не нуждается в обработке. На талию 72 см, села очень плотно, придется увеличивать резинку. Уже ходила в ней, от ветра не взлетает, но красиво колышется, для поздней осени/весны, зимы, очень хорошая юбка, все понравилось! Запакровано в зип-пакет, с одной стороны прозрачный с другой фольгированный. РЕКОМЕНДУЮ, продавцу больших продаж!))",positive
38191,"Пришел товар быстро. Взята S. Рукава коротковаты на меня. Длинна рукава 53 см.  Длинна футболки 57 см. Сидит в облипку. Не скрипит конечно, но материал точно полиэстер. буду в зал в ней ходить. С прадовцом не общалась.Для полиэстера дороговато))",neautral
46597,"пришёл быстро,отслеживался,но торчат нитки",neautral
55131,Качество хорошее ,positive
24346,"ждала, ждала...так и не получила свой заказ. Открыла спор, вернули деньги",negative
8691,"Лишний раз убедилась. что нужно выбирать продавца, а уже потом товар. Продавец не отправил товар, но трек номер ""левый"" дал через два месяца объявила спор, спасибо Алиэкспресс, деньги вернули.",negative
5389,"куртка пришла совсем тонкая, хотя в описании написано наполнитель Спрей-скрепленный Вата, враньё никакого наполнителя нет, простая тонкая тряпка. Не стоит этих денег.",negative
28348,"Качество конечно капец. Волосы и шерсть прилипают только так, при этом убрать их очень сложно. По размеру нормально ",neautral
12791,"ужасно просто,пришла огромная кофта,размер не тот,ужас",negative
48701,"заказ пришел очень быстро! в Ижевск за 17 дней! ткань не пахнет, но сшит так себе - нитки торчат. состав хлопок с вискозой - довольно приятная, не прозрачная. я заказывала размер L - с запасом, тк сейчас на 7 месяце, сама ношу 44. Думаю, можно было взять и М,  хотя мне нравится, что он свободный. зимой, конечно - только для дома, летом - отлично подойдет для прогулок. Цвет серый - как на фото.",neautral
36795,"Малы .... на 112 см, брала L",neautral
42703,"не очень,ткань неприятная,да и мало оказалось.",neautral
74992,Очень классные ,positive
23705,Деньги вернули заказ не пришёл ,negative
51735,"ждала 4!!!! месяца! лето прошло, уже не актуально. спор открывала, деньги вернули",neautral
2474,"Не знаю, какой там ""единый размер"", но на 162 см рост и 51 кг они велики. Просто огромные! У продавца по рпзмерам информации ноль. Дочь носить не может, велики.  Вот и верь после этого отзывам...",negative
52488,"Качество среднее, но за такую цену не жалко",neautral
39801,синтетика,neautral
74845,"Китайцы,я вас обожаю! Пижама огонь! Синтетика конечно,но к телу приятно и спать будет по кайфу))))",positive
71657,"Заказ шёл около месяца,трек отслеживался,продавец отправлял заказ два раза.
Блузка соответствует описанию и фото,выполнена аккуратно,швы ровные,нитки не торчат,брошка тоже выполнена хорошо.Подкладка приятного материала,похожего на атлас.Блуза молочная,с желтоватым оттенком.
По размеру мне подошла на 88/70/94 и рост 168,но я её заказывала подруге в размере Л и мне кажется ей она будет мала,она толще меня,но объём груди такой же.
Блузочку и продавца рекомендую)",positive
71386,юбка супер .,positive
22748,"по размеру впритык. по длине очень короткое, не как платье, а как пиджак. пуговицы пришиты плохо, одна оторвалась при застегивании.",negative
8561,сломался пластик в первый же день,negative
38229,Хватило на один раз муж разорвал!!!!!,neautral
72416,"Кофта очень нежная и приятная к телу! Но пришла с небольшой затяжкой на рукаве, на фото видно. Вернули часть денег! Но носить всё равно буду! Она мне очень нравится! Заказ пришёл за 15 дней до Тюмени, отслеживался до почтового отделения! Я довольна!)",positive
47624,"доставка ужасная!!! сначала дали неверный трэк. я написала продукции, спустя две недели он дал верный трэк. заказывала 20 октября. отправка была только 3 ноября!!! доставка очень долгая. сначала напутали в Китае. потом в России блузка блуждала от Екатеринбурга до московской области 3 недели!!!!! объездила 4 города!!! цвет чёрный брала. мои параметры 80-62-94. рост 175. рукав очень короткий. до запястья аж 10 см не хватает!!! качество нормальное, затяжек нет. очень элекризуется!!! короткое. заправить в юбку, которая на талии, но при этом руки не поднять, иначе вылазит.",neautral
58629,Очень понравилась ,positive
42622,"сшит нормально,но синтетика и рукав длинный не как на картинке",neautral
76988,"Отличные носочки, качество хорошее! Рекомендую! Доставка 3 недели!",positive
28845,"Платье пришло без ремешка, думала, что он в комплекте...",neautral
42382,"куртка нормальная,  на рост 160 рукав коротковат, но носить можно. в кармане дырка. есть немного запах.",neautral
80556,"спасибо большое продавцу,  очень понравилась рубашка ",positive
54713,Топик очень маленький для школьницы!!!,neautral
63211,"Брала за 298₽, очень хороший, размер м на 42 рус,ткань хб с начёсом, цвет отличается, не изумрудный, а чисто зелёный тёмный ",positive
65203,"отличная шапка ребенок рад. Помпон на кнопке. поэтому придется пришить намертво. 
Продавец вообще прелесть ни каких претензий. доставка быстрая 16.08 оплатили 02.09 уже получили причем продавец сообщил о том что товар пришел за 2 дня до того пока почта изволила принести извещение",positive
63346,"Качество хорошее,если бы небольшой казус,шов на шве,очень выделяется ((
качество в принципе нормальное))очень утягивает,на р.42 S маловато)",positive
80366,"Спасибо спасибо спасииибо!!! Очень классный свитер, безумно мягкий, приятный на ощупь! На на размер 44-46 как раз М. Идеально сел. Спасибо большое!",positive
25398,Товар не пришёл. Продавец мурыжил 43 дня. В итоге в спор вмешался али экспресс. Деньги вернули,negative
43012,"Качество норм, но свитер странный ) и сильно пахнет",neautral
70790,"Хорошие штанишки, тёплые. По отзывам знала, что на рост 170 будут коротки, но заказала для прогулок в сапогах, так что - нормально. На 95 бёдра взяла XL - подошло прекрасно, завышенная талия на московскую погоду осенью-прям супер! ",positive
81736,"Очень классный товар, качество хорошее. Цвет правда немного отличается, не такой яркий как у продавца. Доставка быстрая, неделя до Москвы ",positive
38665,По качеству товар соответствует. Но по размеру маломерка.,neautral
37340,"Товар пришёл в хорошей упаковке, но качество ужасное, какие то пятна по всей длине , носить их можно только под штаны. И они очень длинные, мне на мой рост 154 см, не подходят. Продавец отправил быстро, трек отслеживался не полностью.",neautral
1524,"Качество свитера меня расстроило...
Внешне на 3, внутри на 1.",negative
33169,мне ужасно велико не ожидала . все писали что маломерка . я взяла свой s и в итоге утонула,neautral
32333,На шве имеются застрочки,neautral
78178,"футболка пришла за три недели. ткань тонкая синтетика, что и было ожидаемо. не просвечивает. плохо не пахнет. телу приятна. взяла на размер больше, чем мой. длинная, как туника. принт яркий, как на фото продавца. очень рада покупке.",positive
61862,"очень быстро пришло , от. заказа  до доставки 10 дней. Жаль очень велико 3 хл на 54, 56 ,заказывала по сетке размерной",positive
43211,"В общем куртка хорошая, сшита качественно без торчащих ниток и лишнего запаха. Но рукава очень короткие даже на рост 160 и рашпер ",neautral
52444,"ткань другая ,цвет не соответствует",neautral
8957,"Материал порвался после первой носки, пошли трещины(((((",negative
5449,"не подошёл на 46р,заказывала xl как обычно,а идет на 48-50. Очень долго шел заказ",negative
38366,"порвался в первый же день,  сшит так-себе",neautral
3845,"Нитки торчат, просвечиваются!!!",negative
2270,Блузка очень короткая. Похоже на топ. Заказала L. На рост 168 ужасно коротка. Не довольна,negative
53200,Платье пришлось перешивать.  Оказалось большое. И не понятно село. Портниха сказала так не шьют. Спасибо ей за 800 рублей переделала. пришло быстро.Материал красивый на корпоратив самое то.,neautral
13411,продавец обманщик! товар так и не пришел за 3 месяца. деньги никто не вернул.,negative
14763,100% скользкая противная синтетика. Ноги чешутся через 5 минут носки ,negative
38849,"Дошла недели за 2, качество материала соответствует цене, но почитав отзывы думала будет лучше. Распускаться начала после первой носки, и швы и подкладочный материал, но смотрится красиво. По качеству так себе материал ",neautral
2340,Заказ так и не подучила. Хотя продавец вернул деньги. ,negative
37602,"Размеры указаны не верно, очень маломерят. Качество материалов низкое. Нитки торчат. Пояс прошит некачественно. Доставку сильно задержали - 63 дня вместо 23 обещанных. Все что сделали в ответ на 3 моих гневных обращения - предложили отслеживать трек. Зря не вернул деньги. Надеялся, что платье достойное и жена обрадуется, ан нет(",neautral
73636,для лета класс,positive
50960,"Товар к сожалению не пришёл,деньги вернули! я честно ждала и даже просила увеличить время,но увы...",neautral
80588,"Шапочка суперская!!! Вязка плотная, пампон натуральный, пушистый, отстёгивается, что очень удобно при стирке. доставка быстрая",positive
31430,"Размер М оказался мал на бедро 95, надо было брать L (хотя, судя по отзывам и таблице казалось, что должно быть нормально)",neautral
43548,заказала Эльку на 46-48.подошел отлично.есть брак-это не пришитая петелька для пояса и дырочка на трусиках.за это снижаю звёзды.,neautral
2797,"ФЮбка с явным браком,на целый сантиметр не сходятся борта,я возвращаю покупку к сожалению,ожидала большего",negative
10338,"Заказавали L, пришла М. Размер подошел , но сильно обтянуто. Несоответствие характеристике заказа",negative
61866,Очень симпатичный топик под пиджак на 46 размер подходит XL но не на высокий рост.,positive
21627,"пришли без какой либо упаковки
не красивые как будто просто ножницами по краям обрезаны
ужас
не покупайте этот товар",negative
21252,"Заказывала две разные, пришли две одинаковые. Шло долго 25 дней, когда другие посылки доходят за 16 дней.  Качество рубашки меня удовлетворило.",negative
12373,"Размер S обхват талии 60 см,а не 66 см,как указано в сетке размеров.стала спорить,Али закрыл спор по какой-то причине.не знаю теперь где найти такую Дюймовочку ,которой бы подошла эта юбка.",negative
12328,"заказывала две толстовки, не пришла ни одна, деньги вернули только за одну!",negative
